time,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_,temp_2m,down_long_hemisp,up_long_hemisp,lat_tower,lon_tower,rlns
2019-12-13 10:53:33.203000+00:00,-24.55307,2019-12-13 10:53:33.203000+00:00,12,119.16573950847629,86.59446205242483,13.942535,893.6789,13.171112,-11.381958,0.28819737,4.058835,2.1098852,2019-12-13 10:53:33.203,-25.877791066666664,167.3825644085312,207.56730881435396,86.59127553388889,119.13229898769444,-40.184744405822755
2019-12-13 16:53:00.561000+00:00,-21.870377,2019-12-13 16:53:00.561000+00:00,12,118.94301663259239,86.59800299539758,11.0569,1013.0511,9.384445,-12.485931,0.32010058,2.143616,5.01486,2019-12-13 16:53:00.561,-22.010349533333333,225.71675501310983,227.74511156553905,86.59477243138889,118.9084165325,-2.0283565524292158
2019-12-13 22:51:25.782000+00:00,-20.258759,2019-12-13 22:51:25.782000+00:00,12,118.74985599037831,86.60255456285492,8.597656,1103.8552,7.530884,-12.727875,0.31241637,1.5345238,4.6831813,2019-12-13 22:51:25.782,-21.1100356,230.1838779154587,229.94765424388885,86.59935991638888,118.7146872536111,0.23622367156986002
2019-12-14 04:52:28.402000+00:00,-22.275146,2019-12-14 04:52:28.402000+00:00,12,118.59159802230475,86.60841587413772,8.335144,1223.6205,8.099426,-14.273987,0.32638398,1.8569739,1.4843845,2019-12-14 04:52:28.402,-23.80805771666666,192.3932075745519,215.95606963235218,86.6051712352778,118.55748574611111,-23.562862057800288
2019-12-15 04:54:07.321000+00:00,-28.108856,2019-12-15 04:54:07.321000+00:00,12,118.11811688044077,86.61970310013444,13.093994,1356.5096,13.027557,-15.081299,0.2340762,2.320253,2.0351248,2019-12-15 04:54:07.321,-31.255361116666666,156.59686424826302,188.68108257620494,86.6163788863889,118.08351070883334,-32.084218327941926
2019-12-15 10:54:49.217000+00:00,-30.407059,2019-12-15 10:54:49.217000+00:00,12,117.98801940515843,86.6194506081121,15.733231,1716.064,15.406021,-15.001038,0.3486851,3.7669713,-1.1097791,2019-12-15 10:54:49.217,-30.904470500000002,164.79279988683066,193.14478987096152,86.61612209444442,117.95502894222223,-28.351989984130853
2019-12-16 05:20:25.263000+00:00,-21.433441,2019-12-16 05:20:25.263000+00:00,12,117.08960617631656,86.60725336911685,9.978729,1211.9948,9.455322,-11.978119,0.3358586,7.882071,5.8667617,2019-12-16 05:20:25.263,-21.36149705,192.87109701675416,225.6442277430725,86.60375487916667,117.05040935675001,-32.77313072631833
2019-12-16 22:53:24.620000+00:00,-18.577026,2019-12-16 22:53:24.620000+00:00,12,115.3971651651623,86.606259218196,6.647217,1629.7865,5.334137,-13.242889,0.24532984,4.1971455,9.7626095,2019-12-16 22:53:24.620,-18.5936192,234.37833467243195,238.78851413501744,86.60282005194445,115.36556942472222,-4.410179462585489
2019-12-19 04:53:02.238000+00:00,-20.647583,2019-12-19 04:53:02.238000+00:00,12,113.0781643824756,86.68103081070493,7.0843506,679.881,5.7758484,-15.001648,0.2651298,1.7904432,7.5561085,2019-12-19 04:53:02.238,-20.2792206,229.4345374706141,234.21213594992318,86.6776179261111,113.04773458925001,-4.777598479309091
2019-12-19 10:50:25.168000+00:00,-21.824097,2019-12-19 10:50:25.168000+00:00,12,112.97700079343595,86.6788354412062,9.051544,494.83774,5.8151855,-16.008911,0.24041493,1.0270169,7.084817,2019-12-19 10:50:25.168,-22.298555483333335,209.9103704080836,224.2456808759181,86.67554466166668,112.94489015333333,-14.335310467834518
