time,t0,dt0,month,lon,lat,inversion_strength,inversion_height,low_level_stability,t_850hpa,rh_sub_850,surf_wind_velocity,wind_shear,dt_,temp_2m,down_long_hemisp,up_long_hemisp,lat_tower,lon_tower,wspd_u_mean_2m,wspd_v_mean_2m,wspd_u_mean_6m,wspd_v_mean_6m,wspd_u_mean_10m,wspd_v_mean_10m,wspd_tower_2m,wspd_tower_6m,wspd_tower_10m,rlns
2020-02-20 16:56:43.714000+00:00,-11.968872,2020-02-20 16:56:43.714000+00:00,2,68.21884426802862,88.41796540827768,0.13665771,13.13402,-0.6012573,-12.570129,0.31326517,5.3096747,13.357262,2020-02-20 16:56:43.714,-13.123122866666668,252.16248917730962,259.0780865518824,88.41496953305557,68.2210125163889,-1.653239893837099,5.751159094272277,-2.1765336988347914,6.714311459493922,-2.363328360637197,7.257424108735636,5.984064928976391,7.058277220204294,7.632530748988132,-6.915597374572769
2020-02-21 17:06:35.093000+00:00,-20.016525,2020-02-21 17:06:35.093000+00:00,2,66.06164869555118,88.52619573719394,0.5657501,384.6743,-2.3001862,-22.316711,0.23217244,9.247584,7.275569,2020-02-21 17:06:35.093,-20.608127983333336,208.8564156729889,229.8261714048004,88.52312253194445,66.06467371727778,-5.764263917055722,8.225815545821318,-6.800420228541955,8.997594132351828,-7.369212862978564,9.64381053421653,10.044440248184378,11.278404827602824,12.137066360523635,-20.96975573181149
2020-02-21 22:43:32.350000+00:00,-18.530815,2020-02-21 22:43:32.350000+00:00,2,65.61227999647976,88.55109015681785,0.21013641,2.2057185,-2.2168427,-20.537521,0.2677013,10.695411,9.317246,2020-02-21 22:43:32.350,-19.5926822,194.23688422238666,231.74739599423725,88.54736686750002,65.62557490611111,-4.143526008284048,8.34046247231581,-4.95426645152303,9.208710289353135,-5.40518249498943,9.881103945783794,9.313008216115493,10.45682080108122,11.262868772720573,-37.51051177185059
2020-02-22 04:50:04.551000+00:00,-19.34748,2020-02-22 04:50:04.551000+00:00,2,65.10024534331605,88.56806051324885,0.8278122,1185.4546,0.28178406,-19.128372,0.251805,6.3745775,9.168576,2020-02-22 04:50:04.551,-20.23876573333333,204.38448768132528,229.4470506268819,88.5644284425,65.11458704816667,-3.3494144202263763,6.506175920193757,-3.9357777189093044,7.102133991880862,-4.216787008364632,7.646966199358033,7.317711531819867,8.11976930037378,8.732547436346222,-25.062562945556607
2020-02-22 10:53:21.708000+00:00,-19.289574,2020-02-22 10:53:21.708000+00:00,2,64.61339622479076,88.57685560215819,0.15839386,13.5350685,-0.9152374,-20.30307,0.24306414,5.3930025,6.8295803,2020-02-22 10:53:21.708,-20.669719983333334,177.74105903004963,223.04697232838947,88.57310248861111,64.63234142222221,-2.6587449368398284,3.646729039623844,-3.2438108310423734,4.174929273421581,-3.592026728503469,4.6904996535302645,4.513043023017537,5.286997554913399,5.9079135926358015,-45.305913298339846
2020-02-22 16:54:26.013000+00:00,-19.22754,2020-02-22 16:54:26.013000+00:00,2,64.22363157430597,88.5775601099143,2.3349,154.09587,-1.8953857,-21.122925,0.24988447,5.8949823,5.784972,2020-02-22 16:54:26.013,-19.909831599999997,232.45572552597045,231.43696160140993,88.57382943416667,64.24319426833335,-3.7176402853644697,1.0556223096922537,-4.4477022871574245,1.1423220875617246,-4.8961666056404365,1.4172340479321777,3.8646070630899625,4.592053504361285,5.097156047916016,1.018763924560517
2020-02-23 04:48:28.256000+00:00,-15.831512,2020-02-23 04:48:28.256000+00:00,2,62.49379302246038,88.58066190849513,2.0939026,523.9157,-1.2895813,-17.652924,0.24371336,5.413463,8.384932,2020-02-23 04:48:28.256,-16.598296483333336,244.344857640597,245.27906541433967,88.57707170083333,62.50251608722222,-6.06256578083255,-0.2671154903572642,-6.911699327570124,-0.46765229440831757,-7.370280506479507,-0.39866032831137116,6.068447456484285,6.927502166235581,7.381054450521359,-0.9342077737426564
2020-02-24 10:59:21.751000+00:00,-22.977028,2020-02-24 10:59:21.751000+00:00,2,54.79588932293762,88.58973259193073,6.396858,825.2336,6.1879272,-17.069275,0.43188006,10.551296,10.199245,2020-02-24 10:59:21.751,-23.79121845,218.5422607313029,220.07658585093182,88.58607439944446,54.800202197500006,-9.715342007108585,-4.515124983988965,-11.092859919353625,-5.2166591732197505,-11.931486551100509,-5.310788974837978,10.713273259659255,12.258265542887374,13.060047888669969,-1.5343251196289316
2020-02-25 10:53:20.106000+00:00,-22.322792,2020-02-25 10:53:20.106000+00:00,2,46.12367378498662,88.5632092303042,6.979927,345.27667,3.6188965,-18.61528,0.29078975,11.284424,6.930975,2020-02-25 10:53:20.106,-22.618362166666667,181.95013346422832,221.64991391527815,88.55976660083331,46.1806435485,-8.09282939933412,-6.650455108634928,-8.82177470598902,-7.451585019552181,-9.476930894240652,-7.6522806173634494,10.474848010290891,11.547719613276128,12.180706786598604,-39.69978045104983
2020-02-25 16:51:36.069000+00:00,-24.137451,2020-02-25 16:51:36.069000+00:00,2,44.3850075039012,88.54954144391887,6.794998,570.0273,4.5905,-19.546951,0.22431162,12.269664,9.219295,2020-02-25 16:51:36.069,-24.241376483333333,147.2206759249878,213.40049820037842,88.54610865027777,44.442515515000004,-5.464632953092076,-7.5893392941141355,-6.003532801288543,-8.544645151896514,-6.459296437605316,-8.845411311596465,9.352020328955915,10.44286200559866,10.952799265036287,-66.17982227539062
2020-02-25 23:10:21.975000+00:00,-25.237976,2020-02-25 23:10:21.975000+00:00,2,42.766054276851946,88.53003215459334,7.010437,333.74796,4.8171387,-20.227722,0.23707493,8.15213,10.973351,2020-02-25 23:10:21.975,-25.669988183333334,143.92843147254945,208.46744337623596,88.52645993888889,42.816419776111104,-4.632763103583301,-7.821450405380075,-5.019637533840304,-8.803544394949581,-5.484015343618675,-9.19893241482475,9.090521460166238,10.134059151445019,10.709564970695988,-64.53901190368651
